run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
86,209,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
87,210,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
88,211,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
89,212,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
90,213,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
91,214,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
92,215,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
93,216,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
94,217,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
95,218,erdos_renyi,"{""p"": 0.05}",300,1.85,2.2,2.0,1.0,0.08,0.17500000000000002,0.0,random,logit,0.2,none,0,1,True,0.0,0.161,0,,,0,0,0.0,0.0,0.17500000000000002,2.0,1
96,219,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
